name,makerId,type,ISO,formats,process,Image SRC
ADOX CMS 20 II,1,Black and White negative,20,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-ADOX-CMS-20-120.jpg
Film – ADOX HR-50,1,Black and White,50,"35mm, 120, Sheet",BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/09/Film-adox-hr-50.jpg
ADOX Scala 160,1,Black and White reversal,160,35mm,BW reversal / Scala,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-ADOX-SCALA-160-35mm.jpg
ADOX SILVERMAX 100,1,Black and White negative,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-ADOX-Silvermax-100-35mm.jpg
Agfa Copex Rapid,2,Black and White negative,10,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-Agfa-Copex-Rapid-35mm.jpg
Agfaphoto APX 100,2,Black and White negative,100,35mm4×5 glass plate (x10),BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-Agfaphoto-APX-200-35mm.jpg
Agfaphoto APX 400,2,Black and White negative,400,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-Agfaphoto-APX-400-35mm.jpg
Arista.EDU Ultra 100,3,Black and White negative,100,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Arista-EDU-ULTRA-100.jpg
Arista.EDU Ultra 200,3,Black and White negative,200,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Arista-EDU-ULTRA-100.jpg
Arista.EDU Ultra 400,3,Black and White negative,400,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Arista-EDU-ULTRA-400.jpg
BERGGER Pancro 400,4,Black and White negative,400,"35mm, 120, Sheet, Custom",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-Bergger-Pancro-400-35mm.jpg
CineStill 50 Daylight Xpro C-41,5,Motion picture color,50,"35mm, 120",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-CinStill-50D-35mm.jpg
CineStill 800 Tungsten Xpro C-41,5,Motion picture color,800,"35mm, 120",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-CinStill-800T-35mm.jpg
Cinestill BWXX (Double-X),5,Motion picture color,250,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Film-CinStill-BWXX-35mm.jpg
dubblefilm BUBBLEGUM,6,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/dubblefilm-BUBBLEGUM-canister.jpg
dubblefilm MONSOON,6,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/dubblefilm-MONSOON-canister.jpg
dubblefilm SUNSTROKE,6,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/dubblefilm-SUNSTRONKE-EDITION.jpg
dubblefilm SUNSTROKE,6,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/dubblefilm-SUNSTRONKE-EDITION.jpg
FERRANIA P30,7,Black and White negative,80,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/FERRANIA-P30-ALPHA-35mm.jpg
Film Washi A,8,Black and White negative,12,"35mm, 100ft reel",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-A-35mm.jpg
Film Washi B,8,Black and White negative,125,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/09/logo-washi.jpg
Film Washi D,8,Black and White negative,500,"35mm, 100ft reel",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-D-35mm.jpg
Film Washi G,8,Black and White negative,80,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/09/logo-washi.jpg
Film Washi K,8,Black and White negative,100,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-D-35mm.jpg
Film Washi P,8,Black and White negative,100,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/09/logo-washi.jpg
Film Washi S,8,Black and White (paper negative),50,"35mm, 120, 620, sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/09/logo-washi.jpg
Film Washi V,8,Black and White (paper negative),100,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-V-35mm.jpg
Film Washi W,8,Black and White (paper negative),25,"35mm, 120, 620, sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-W-35mm.jpg
Film Washi Z,8,Black and White negative,400,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Film-Washi-Z-35mm.jpg
FOMAPAN 100 Classic,9,Black and White negative,100,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fomapan-100-Classic-120.jpg
FOMAPAN 200 Creative,9,Black and White negative,200,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fomapan-200-Creative-35mm.jpg
FOMAPAN 400 Action,9,Black and White negative,400,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fomapan-400-Action-35mm.jpg
Fomapan R100,9,Black and White reversal,100,"8mm, Super 8, 16mm, 35mm",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fomapan-R100-35mm.jpg
Foma Retropan 320 Soft,9,Black and White negative,320,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Foma-RETROPAN-320-soft-35mm.jpg
Fujifilm Fujicolor C200,10,Color negative,200,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Fujicolor-C200-35mm.jpg
Fujifilm Industrial 100,10,Color negative,100,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujicolor-Industrial-100.jpg
Fujifilm INSTAX Mini Color,10,Color instant ,800,INSTAX Mini,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Instax-Mini-Color.jpg
Fujifilm INSTAX Mini Monochrome,10,Black and White instant ,800,INSTAX Mini,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Instax-Mini-Monochrome.jpg
Fujifilm INSTAX Square Color,10,Color instant ,800,INSTAX Square,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Instax-Square-Color.jpg
Fujifilm INSTAX Wide Color,10,Color instant ,800,INSTAX Wide,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Instax-Wide-Color.jpg
Fujifilm INSTAX Wide Monochrome,10,Black and White instant ,800,INSTAX Wide,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Instax-Wide-Monochrome.jpg
Fujifilm NEOPAN 400CN,10,Black and White negative,400,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-NEOPAN-400CN-35mm.jpg
Fujifilm NEOPAN ACROS 100,10,Black and White negative,100,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-NEOPAN-ACROS-100-35mm.jpg
Fujifilm Pro 400H,10,Color negative,400,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Pro-400H-35mm.jpg
Fujifilm Provia 100F,10,Color reversal,100,35mm,E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Provia-100F-35mm.jpg
Fujifilm Superia Premium 400,10,Color negative,400,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Superia-Premium-400.jpg
Fujifilm Superia X-TRA 400,10,Color negative,400,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Superia-X-TRA-400.jpg
Fujifilm Velvia 50,10,Color reversal,50,35mm,E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Velvia-50.jpg
Fujifilm Velvia 100,10,Color reversal,100,"35mm, 120, Sheet",E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Fujifilm-Velvia-100.jpg
ILFORD Delta 100 Professional,11,Black and White negative,100,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-Delta-100-Professional-35mm.jpg
ILFORD Delta 400 Professional,11,Black and White negative,400,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-Delta-400-Professional-35mm.jpg
ILFORD Delta 3200 Professional,11,Black and White negative,3200,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-Delta-3200-Professional-35mm.jpg
ILFORD FP4 PLUS,11,Black and White negative,125,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-FP4-PLUS-35mm.jpg
ILFORD HP5 PLUS,11,Black and White negative,400,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-HP5-PLUS-35mm.jpg
ILFORD Ortho Copy Plus,11,Black and White negative,80,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-ORTHO-COPY-PLUS-Sheet.jpg
ILFORD PAN 100,11,Black and White negative,100,"35mm, 127",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-PAN-100-135.jpg
ILFORD PAN 400,11,Black and White negative,400,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-PAN-400-135.jpg
ILFORD PAN F PLUS,11,Black and White negative,50,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-PAN-F-PLUS-135.jpg
ILFORD SFX 200,11,Black and White negative,200,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-SFX-200-135.jpg
ILFORD XP2 Super,11,Black and White negative,400,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/ILFORD-XP2-Super-35mm.jpg
Kentmere 100,11,Black and White negative,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/04/Kentmere-100.jpg
Kentmere 400,11,Black and White negative,400,35mm,BW,
JCH Streetpan 400,12,Black and White negative,400,"35mm, 120",BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/05/Film-JCH-Streetpan-400-35mm.jpg
KODAK Black and White Print Film 2302,13,Black and White negative,250,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/kodak-2302.jpg
Kodak ColorPlus 200,13,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/film-kodak-colorplus-200.jpg
Kodak EASTMAN Double-X 5222,13,Black and White negative,250,35mm,BW,https://i2.wp.com/emulsive.org/kodak-double-x-5222-3
Kodak EASTMAN Fine Grain Duplicating Panchromatic Negative Film 5234,13,Black and White negative,6,35mm,BW,
Kodak EASTMAN Fine Grain Duplicating Positive Film 2366,13,Black and White negative,12,35mm,BW,
Kodak EKTACHROME E100,13,Color reversal,100,"8mm, 16mm, 35mm",E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/09/KODAK-EKTACHROME-E100-BOX.jpg
Kodak Gold 200,13,Color negative,200,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/film-kodak-gold-200.jpg
Kodak Professional Ektar 100,13,Color negative,100,"35mm, 120, Sheet",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Ektar-100.png
Kodak Professional Portra 160,13,Color negative,160,"35mm, 120, Sheet",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Portra-160-family.jpg
Kodak Professional Portra 400,13,Color negative,400,"35mm, 120, Sheet",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Portra-400-family.jpg
Kodak Professional Portra 800,13,Color negative,800,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Portra-800-family.jpg
Kodak Professional T-MAX 100,13,Black and White negative,100,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-T-Max-100.jpg
Kodak Professional T-MAX 400,13,Black and White negative,400,"35mm, 120, Sheet",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-T-Max-400.jpg
Kodak Professional T-MAX P3200,13,Black and White negative,3200,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/kodak-t-max-3200.jpg
Kodak Professional Tri-X 320,13,Black and White negative,320,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Tri-X-family.jpg
Kodak Professional Tri-X 320,13,Black and White negative,320,Sheet,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Tri-X-family.jpg
Kodak Professional Tri-X 400,13,Black and White negative,400,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Tri-X-family.jpg
Kodak Professional Pro Image 100,13,Color negative,100,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/film-kodak-pro-image-160.jpg
Kodak ULTRA MAX 400,13,Color negative,400,35mm,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/film-kodak-ultramax-400.jpg
Kodak VISION3 50D 5203,13,Motion picture color,50,"8, 16, 35, 65mm",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Vision-50D-5203.png
Kodak VISION3 200T 5213,13,Motion picture color,200,"8, 16, 35, 65mm",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Vision-200T-5213.png
Kodak VISION3 250D 5207,13,Motion picture color,250,"8, 16, 35, 65mm",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Vision-250D-5207.png
Kodak VISION3 500T 5219,13,Motion picture color,500,"8, 16, 35, 65mm",ECN-2,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Kodak-Vision-500T-5219.png
Kosmo Photo Mono 100,14,Black and White negative,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/02/kosmo_packshot_450h.jpg
